index,Order_ID,Date,Status,Fulfilment,Sales_Channel ,ship_service_level,Style,SKU,Category,Size,ASIN,Courier_Status,Qty,currency,Amount,ship_city,ship_state,ship_postal_code,ship_country,B2B
299,404-7491342-1035558,04-04-2022,Shipped,Amazon,Amazon.in,Expedited,J0280,J0280-SKD-S,Set,S,B08QGM7FCC,Shipped,1,INR,1463,THANE,MAHARASHTRA,401107,IN,FALSE
300,171-6783343-9758701,04-03-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Shipped,1,INR,399,HOSHIARPUR,PUNJAB,146001,IN,FALSE
301,402-0043314-1059527,04-02-2022,Cancelled,Amazon,Amazon.in,Expedited,J0339,J0339-DR-M,Western Dress,M,B09831YHGV,Unshipped,1,INR,744,SEONI,MADHYA PRADESH,480661,IN,FALSE
302,406-6586654-6641140,04-01-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3564,JNE3564-KR-XXXL,kurta,3XL,B09B2FNCBT,Shipped,1,INR,487,BENGALURU,KARNATAKA,560010,IN,FALSE
303,405-6120626-0941135,03-31-22,Shipped,Amazon,Amazon.in,Expedited,SET182,SET182-KR-DH-L,Set,L,B085HRLT87,Shipped,1,INR,657,Bengaluru,KARNATAKA,560017,IN,FALSE
304,408-9255314-3102740,05-31-22,Shipped,Amazon,Amazon.in,Expedited,SET128,SET128-KR-DH-M,Set,M,B07WZFT117,Shipped,1,INR,1133,BARSHI,MAHARASHTRA,413401,IN,FALSE
305,408-3436456-9893130,05-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-XXL,kurta,XXL,B08KRYCC8J,Shipped,1,INR,399,MUMBAI,MAHARASHTRA,400080,IN,FALSE
306,408-3870331-6287517,05-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3568,JNE3568-KR-L,kurta,L,B08KS2BPL8,Shipped,1,INR,399,Dehradun,UTTARAKHAND,248001,IN,FALSE
307,408-3870331-6287517,05-28-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Shipped,1,INR,399,Dehradun,UTTARAKHAND,248001,IN,FALSE
308,407-2882576-2777135,05-27-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,Shipped,1,INR,1233,HYDERABAD,TELANGANA,500089,IN,FALSE
309,403-2256919-4846738,05-26-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3881,JNE3881-DR-XXXL,Western Dress,3XL,B09VC3ST6H,Shipped,1,INR,825,BENGALURU,KARNATAKA,560068,IN,FALSE
310,403-2920089-2403567,05-25-22,Shipped,Amazon,Amazon.in,Expedited,JNE3639,JNE3639-TP-N-XXL,Top,XXL,B08ZH7RVGJ,Shipped,1,INR,487,CHENNAI,TAMIL NADU,600036,IN,FALSE
311,406-7792526-4685142,05-24-22,Shipped,Amazon,Amazon.in,Expedited,SET291,SET291-KR-PP-XXL,Set,XXL,B099NJQ8JQ,Shipped,1,INR,563,HYDERABAD,TELANGANA,500028,IN,FALSE
312,406-7680255-6117120,05-23-22,Shipped,Amazon,Amazon.in,Expedited,JNE3613,JNE3613-KR-XXL,kurta,XXL,B08XWBRM8L,Shipped,1,INR,399,HYDERABAD,TELANGANA,500028,IN,FALSE
313,402-4646784-8411501,05-22-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXXL,kurta,3XL,B0828PD16L,Shipped,1,INR,471,CHANDI MANDIR,HARYANA,134107,IN,FALSE
314,405-2788163-4515521,05-21-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3522,JNE3522-KR-XXL,kurta,XXL,B08W9K3MXR,Shipped,1,INR,342,ujjain,MADHYA PRADESH,456010,IN,FALSE
315,405-1757140-2025918,05-20-22,Shipped,Amazon,Amazon.in,Expedited,JNE3741,JNE3741-KR-XXL,kurta,XXL,B099FBTWW1,Shipped,1,INR,432,ujjain,MADHYA PRADESH,456010,IN,FALSE
316,403-9105351-8453114,05-19-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Shipped,1,INR,399,Haldwani,UTTARAKHAND,263139,IN,FALSE
317,402-0503400-6235514,05-18-22,Shipped,Amazon,Amazon.in,Expedited,SET293,SET293-KR-NP-S,Set,S,B09K3G4TS6,Shipped,1,INR,736,CHENNAI,TAMIL NADU,600125,IN,FALSE
318,408-3201739-2676310,05-17-22,Shipped,Amazon,Amazon.in,Expedited,SET388,SET388-KR-NP-L,Set,L,B09QJLFDRK,Shipped,1,INR,1260,MUMBAI,MAHARASHTRA,400049,IN,FALSE
319,171-8027093-8553945,05-16-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Shipped,1,INR,399,Uttarkashi,UTTARAKHAND,249193,IN,FALSE
320,403-3331597-7637100,05-15-22,Shipped,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-XS,Set,XS,B0894WWGK9,Shipped,1,INR,1133,BHUBANESWAR,ODISHA,751006,IN,FALSE
321,403-4424319-6635501,05-14-22,Shipped,Amazon,Amazon.in,Expedited,SET197,SET197-KR-NP-L,Set,L,B08B3YPD63,Shipped,1,INR,759,Old Goa,Goa,403107,IN,FALSE
322,403-0906375-2269150,05-13-22,Cancelled,Amazon,Amazon.in,Expedited,MEN5029,MEN5029-KR-M,kurta,M,B08YZ1SZDH,Unshipped,1,INR,475,MAHESHWAR,MADHYA PRADESH,451224,IN,FALSE
323,406-7261451-5682727,05-12-2022,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XS,Western Dress,XS,B099NS55L1,Shipped,1,INR,744,BENGALURU,KARNATAKA,560037,IN,FALSE
324,407-5096970-7475550,05-11-2022,Cancelled,Merchant,Amazon.in,Standard,J0010,J0010-LCD-L,Set,L,B08BJSDK5J,,0,INR,1902.86,HARDOI,UTTAR PRADESH,241001,IN,FALSE
325,402-6566640-5417947,05-10-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3800,JNE3800-KR-M,Western Dress,M,B09SDXQ3X9,Shipped,1,INR,771,HYDERABAD,TELANGANA,500073,IN,FALSE
326,402-5302912-6805151,05-09-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3798,JNE3798-KR-M,Western Dress,M,B09SDXTRS9,Shipped,1,INR,725,HYDERABAD,TELANGANA,500073,IN,FALSE
327,407-9707366-3029944,05-08-2022,Cancelled,Merchant,Amazon.in,Standard,JNE3453,JNE3453-KR-S,kurta,S,B085HMWJ4R,,0,INR,473.33,NEW DELHI,DELHI,110074,IN,FALSE
328,402-1365379-0131533,05-07-2022,Cancelled,Amazon,Amazon.in,Expedited,J0012,J0012-SKD-M,Set,M,B0894XYMWS,Cancelled,0,,,KAMAREDDY,TELANGANA,503111,IN,FALSE
329,408-5540360-9479519,05-06-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET183,SET183-KR-DH-M,Set,M,B08B3Z2YY3,Shipped,1,INR,759,SHILLONG,MEGHALAYA,793008,IN,FALSE
330,403-2079921-1244300,05-05-2022,Cancelled,Amazon,Amazon.in,Expedited,MEN5029,MEN5029-KR-M,kurta,M,B08YZ1SZDH,Unshipped,1,INR,475,DHAMNOD DHAR DISTRICT,MADHYA PRADESH,454552,IN,FALSE
332,406-6711228-7576354,05-04-2022,Cancelled,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XXL,Western Dress,XXL,B099NR3NXY,Unshipped,1,INR,791,BENGALURU,KARNATAKA,560037,IN,FALSE
333,171-1425554-3718756,05-03-2022,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XXXL,Western Dress,3XL,B099NSQP4Z,Shipped,1,INR,744,BENGALURU,KARNATAKA,560070,IN,FALSE
334,407-9906412-0889129,05-02-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXXL,kurta,3XL,B082W7MZVQ,Shipped,1,INR,376,CHAKDAHA,WEST BENGAL,741222,IN,FALSE
335,408-8991303-6559523,05-01-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,Shipped,1,INR,399,CHENNAI,TAMIL NADU,600082,IN,FALSE
336,408-6046797-8945127,06-29-22,Shipped,Amazon,Amazon.in,Expedited,SET291,SET291-KR-PP-XL,Set,XL,B099NJV9X7,Shipped,1,INR,599,KOLKATA,WEST BENGAL,700044,IN,FALSE
337,171-2134173-5385136,06-28-22,Shipped,Amazon,Amazon.in,Expedited,J0331,J0331-KR-XXXL,kurta,3XL,B09PD63F81,Shipped,1,INR,782,CHIKKAMAGALURU,KARNATAKA,577101,IN,FALSE
338,171-2134173-5385136,06-27-22,Shipped,Amazon,Amazon.in,Expedited,JNE3752,JNE3752-KR-XXXL,kurta,3XL,B09K3Z6TT3,Shipped,1,INR,362,CHIKKAMAGALURU,KARNATAKA,577101,IN,FALSE
339,402-2155477-9353103,06-26-22,Shipped,Amazon,Amazon.in,Expedited,SET369,SET369-KR-NP-XXL,Set,XXL,B09QJM97Z8,Shipped,1,INR,1173,BHUBANESWAR,ODISHA,751003,IN,FALSE
340,407-8580022-5578715,06-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,Shipped,1,INR,744,GURUGRAM,HARYANA,122018,IN,FALSE
341,402-1572540-8678700,06-24-22,Shipped,Amazon,Amazon.in,Expedited,JNE3797,JNE3797-KR-M,Western Dress,M,B09SDY8DCT,Shipped,1,INR,725,KOLKATA,WEST BENGAL,700050,IN,FALSE
342,171-1887627-9813158,06-23-22,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XS,kurta,XS,B082W872VQ,Shipped,1,INR,376,VISAKHAPATNAM,ANDHRA PRADESH,530016,IN,FALSE
343,408-7712483-3825907,06-22-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3805,JNE3805-KR-L,kurta,L,B09K3ZKHMW,Shipped,1,INR,459,ALLAHABAD,UTTAR PRADESH,211004,IN,FALSE
345,404-8745561-3169903,06-21-22,Shipped,Amazon,Amazon.in,Expedited,JNE3537,JNE3537-KR-M,kurta,M,B08JGXZHY9,Shipped,1,INR,379,LUCKNOW,UTTAR PRADESH,226022,IN,FALSE
346,404-1508602-9433941,06-20-22,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XL,Set,XL,B0894YFQ5R,Shipped,1,INR,696,KOLKATA,WEST BENGAL,700089,IN,FALSE
347,171-9371949-6030721,06-19-22,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-M,Set,M,B09NQ4NM75,Shipped,1,INR,597,MALDA,WEST BENGAL,732101,IN,FALSE
348,171-2705563-6985105,06-18-22,Shipped,Amazon,Amazon.in,Expedited,SET293,SET293-KR-NP-M,Set,M,B09K3LJWBB,Shipped,1,INR,692,DIMAPUR,NAGALAND,797112,IN,FALSE
349,171-3537751-4007556,06-17-22,Shipped,Amazon,Amazon.in,Expedited,SET436,SET436-KR-NP-XXXL,Set,3XL,B09YNY91G5,Shipped,1,INR,1999,Nellore,ANDHRA PRADESH,524314,IN,FALSE
350,408-5990312-3581165,06-16-22,Shipped,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-XXL,Set,XXL,B08YNK9K8F,Shipped,1,INR,824,PUDUCHERRY,PUDUCHERRY,605008,IN,FALSE
351,403-6062596-1220349,06-15-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-XS,kurta,XS,B08KRXDR4Y,Shipped,1,INR,399,CUNCOLIM,GOA,403703,IN,FALSE
352,171-8220241-5105927,06-14-22,Shipped,Amazon,Amazon.in,Expedited,J0329,J0329-KR-XXXL,kurta,3XL,B09KXRLH3S,Shipped,1,INR,737,CHIKKAMAGALURU,KARNATAKA,577101,IN,FALSE
353,408-9405529-3743511,06-13-22,Shipped,Amazon,Amazon.in,Expedited,JNE3568,JNE3568-KR-XL,kurta,XL,B08KS2BCHS,Shipped,1,INR,399,Hyderabad,TELANGANA,500068,IN,FALSE
354,402-3595365-1666728,06-12-2022,Cancelled,Amazon,Amazon.in,Expedited,SET341,SET341-KR-NP-L,Set,L,B09NPXCZZG,Unshipped,1,INR,899,NOIDA,UTTAR PRADESH,201301,IN,FALSE
355,407-3271219-3762757,06-11-2022,Shipped,Amazon,Amazon.in,Expedited,JNE3543,JNE3543-KR-M,kurta,M,B08HHJQ3F4,Shipped,1,INR,368,PUNE,MAHARASHTRA,411028,IN,FALSE
356,402-3660716-8589107,06-10-2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXXL,kurta,3XL,B0828PD16L,Shipped,1,INR,471,trivandrum,KERALA,695003,IN,FALSE
